model,accuracy,precision,recall,f1,f2,roc_auc,true_negatives,false_positives,false_negatives,true_positives
Gradient Boosting,0.7423704755145494,0.5094017094017094,0.7967914438502673,0.62148070907195,0.7160019221528111,0.8455979229636518,748,287,76,298
Logistic Regression,0.7374024130589071,0.5034364261168385,0.7834224598930482,0.6129707112970711,0.705004812319538,0.8414063912785139,746,289,81,293
Random Forest,0.7608232789212207,0.5344506517690876,0.767379679144385,0.6300768386388584,0.705853418593212,0.8401715363352191,785,250,87,287
Decision Tree,0.7402413058907026,0.5068259385665529,0.7941176470588235,0.61875,0.7132564841498559,0.8343111421116536,746,289,77,297
